HeadTop_X,HeadTop_Y,HeadTop_Z,HeadFront_X,HeadFront_Y,HeadFront_Z,HeadSide_X,HeadSide_Y,HeadSide_Z
-291.0,1611.0,-91.0,-353.0,1489.0,-138.0,-314.0,1531.0,7.0
-291.0,1611.0,-91.0,-353.0,1489.0,-138.0,-314.0,1531.0,7.0
-291.0,1611.0,-91.0,-353.0,1489.0,-138.0,-314.0,1531.0,7.0
-291.0,1611.0,-91.0,-353.0,1489.0,-138.0,-314.0,1531.0,7.0
-291.0,1611.0,-91.0,-353.0,1489.0,-138.0,-314.0,1531.0,7.0
-311.0,1642.0,-105.0,-384.0,1512.0,-152.0,-330.0,1563.0,9.0
-311.0,1643.0,-105.0,-386.0,1515.0,-152.0,-332.0,1565.0,9.0
-312.0,1646.0,-107.0,-389.0,1518.0,-153.0,-334.0,1570.0,10.0
-314.0,1653.0,-108.0,-393.0,1524.0,-154.0,-336.0,1577.0,10.0
-318.0,1664.0,-110.0,-398.0,1534.0,-157.0,-339.0,1589.0,11.0
-324.0,1683.0,-114.0,-405.0,1549.0,-160.0,-344.0,1607.0,11.0
-325.0,1689.0,-115.0,-408.0,1555.0,-161.0,-346.0,1613.0,12.0
-327.0,1698.0,-116.0,-411.0,1563.0,-162.0,-348.0,1622.0,12.0
-330.0,1709.0,-117.0,-414.0,1573.0,-164.0,-351.0,1633.0,13.0
-333.0,1722.0,-118.0,-418.0,1584.0,-166.0,-354.0,1645.0,13.0
-336.0,1735.0,-120.0,-422.0,1596.0,-167.0,-357.0,1658.0,13.0
-338.0,1744.0,-121.0,-425.0,1605.0,-169.0,-359.0,1667.0,13.0
-340.0,1755.0,-122.0,-428.0,1615.0,-170.0,-362.0,1678.0,13.0
-343.0,1768.0,-123.0,-431.0,1627.0,-171.0,-364.0,1690.0,14.0
-346.0,1781.0,-124.0,-434.0,1638.0,-173.0,-367.0,1702.0,14.0
-348.0,1793.0,-125.0,-437.0,1650.0,-174.0,-370.0,1714.0,14.0
-350.0,1804.0,-126.0,-440.0,1660.0,-175.0,-372.0,1725.0,14.0
-353.0,1816.0,-127.0,-443.0,1671.0,-176.0,-375.0,1736.0,14.0
